Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086071,2013,01,01,25.3,1,Y
IDCJAC0010,086071,2013,01,02,22.2,1,Y
IDCJAC0010,086071,2013,01,03,37.1,1,Y
IDCJAC0010,086071,2013,01,04,41.1,1,Y
IDCJAC0010,086071,2013,01,05,25.7,1,Y
IDCJAC0010,086071,2013,01,06,25.7,1,Y
IDCJAC0010,086071,2013,01,07,30.3,1,Y
IDCJAC0010,086071,2013,01,08,30.3,1,Y
IDCJAC0010,086071,2013,01,09,21,1,Y
IDCJAC0010,086071,2013,01,10,27.2,1,Y
IDCJAC0010,086071,2013,01,11,39.4,1,Y
IDCJAC0010,086071,2013,01,12,24.1,1,Y
IDCJAC0010,086071,2013,01,13,20.8,1,Y
IDCJAC0010,086071,2013,01,14,21.8,1,Y
IDCJAC0010,086071,2013,01,15,27.7,1,Y
IDCJAC0010,086071,2013,01,16,25.5,1,Y
IDCJAC0010,086071,2013,01,17,40.8,1,Y
IDCJAC0010,086071,2013,01,18,25.9,1,Y
IDCJAC0010,086071,2013,01,19,23,1,Y
IDCJAC0010,086071,2013,01,20,25,1,Y
IDCJAC0010,086071,2013,01,21,25.7,1,Y
IDCJAC0010,086071,2013,01,22,26.3,1,Y
IDCJAC0010,086071,2013,01,23,24.6,1,Y
IDCJAC0010,086071,2013,01,24,36.6,1,Y
IDCJAC0010,086071,2013,01,25,27.4,1,Y
IDCJAC0010,086071,2013,01,26,21.7,1,Y
IDCJAC0010,086071,2013,01,27,24.1,1,Y
IDCJAC0010,086071,2013,01,28,24.4,1,Y
IDCJAC0010,086071,2013,01,29,21.7,1,Y
IDCJAC0010,086071,2013,01,30,29.1,1,Y
IDCJAC0010,086071,2013,01,31,24.7,1,Y
IDCJAC0010,086071,2013,02,01,21.1,1,Y
IDCJAC0010,086071,2013,02,02,21.8,1,Y
IDCJAC0010,086071,2013,02,03,26.1,1,Y
IDCJAC0010,086071,2013,02,04,22.7,1,Y
IDCJAC0010,086071,2013,02,05,28.9,1,Y
IDCJAC0010,086071,2013,02,06,37.2,1,Y
IDCJAC0010,086071,2013,02,07,30.9,1,Y
IDCJAC0010,086071,2013,02,08,30,1,Y
IDCJAC0010,086071,2013,02,09,30.2,1,Y
IDCJAC0010,086071,2013,02,10,23.5,1,Y
IDCJAC0010,086071,2013,02,11,25.7,1,Y
IDCJAC0010,086071,2013,02,12,26,1,Y
IDCJAC0010,086071,2013,02,13,32.7,1,Y
IDCJAC0010,086071,2013,02,14,33,1,Y
IDCJAC0010,086071,2013,02,15,31.4,1,Y
IDCJAC0010,086071,2013,02,16,35.4,1,Y
IDCJAC0010,086071,2013,02,17,35.7,1,Y
IDCJAC0010,086071,2013,02,18,36.7,1,Y
IDCJAC0010,086071,2013,02,19,21,1,Y
IDCJAC0010,086071,2013,02,20,29.5,1,Y
IDCJAC0010,086071,2013,02,21,31.8,1,Y
IDCJAC0010,086071,2013,02,22,32.6,1,Y
IDCJAC0010,086071,2013,02,23,32.1,1,Y
IDCJAC0010,086071,2013,02,24,34.3,1,Y
IDCJAC0010,086071,2013,02,25,29.7,1,Y
IDCJAC0010,086071,2013,02,26,27.5,1,Y
IDCJAC0010,086071,2013,02,27,27.6,1,Y
IDCJAC0010,086071,2013,02,28,21.4,1,Y
IDCJAC0010,086071,2013,03,01,25.1,1,Y
IDCJAC0010,086071,2013,03,02,26.9,1,Y
IDCJAC0010,086071,2013,03,03,29.1,1,Y
IDCJAC0010,086071,2013,03,04,32.7,1,Y
IDCJAC0010,086071,2013,03,05,33.6,1,Y
IDCJAC0010,086071,2013,03,06,33.8,1,Y
IDCJAC0010,086071,2013,03,07,35.5,1,Y
IDCJAC0010,086071,2013,03,08,33,1,Y
IDCJAC0010,086071,2013,03,09,35.8,1,Y
IDCJAC0010,086071,2013,03,10,35.4,1,Y
IDCJAC0010,086071,2013,03,11,37.1,1,Y
IDCJAC0010,086071,2013,03,12,36.2,1,Y
IDCJAC0010,086071,2013,03,13,27.2,1,Y
IDCJAC0010,086071,2013,03,14,24.2,1,Y
IDCJAC0010,086071,2013,03,15,23.9,1,Y
IDCJAC0010,086071,2013,03,16,23,1,Y
IDCJAC0010,086071,2013,03,17,19.9,1,Y
IDCJAC0010,086071,2013,03,18,21.9,1,Y
IDCJAC0010,086071,2013,03,19,24,1,Y
IDCJAC0010,086071,2013,03,20,28.8,1,Y
IDCJAC0010,086071,2013,03,21,23.8,1,Y
IDCJAC0010,086071,2013,03,22,20.5,1,Y
IDCJAC0010,086071,2013,03,23,24.2,1,Y
IDCJAC0010,086071,2013,03,24,25.7,1,Y
IDCJAC0010,086071,2013,03,25,23.8,1,Y
IDCJAC0010,086071,2013,03,26,31.4,1,Y
IDCJAC0010,086071,2013,03,27,35.6,1,Y
IDCJAC0010,086071,2013,03,28,22.3,1,Y
IDCJAC0010,086071,2013,03,29,18.5,1,Y
IDCJAC0010,086071,2013,03,30,22.4,1,Y
IDCJAC0010,086071,2013,03,31,19.2,1,Y
IDCJAC0010,086071,2013,04,01,20.1,1,N
IDCJAC0010,086071,2013,04,02,19.9,1,N
IDCJAC0010,086071,2013,04,03,17.8,1,N
IDCJAC0010,086071,2013,04,04,21,1,N
IDCJAC0010,086071,2013,04,05,25.2,1,N
